Gene,TNK,B,MonoMacro,Mast,Endothelial,Malignant,Stroma,DC,Epithelial
ID3,0.986335724900735,3.48082595621751,1.12502655360976,0.235555927884132,12.0737259147212,0.923888093594963,8.14215922682236,1.72495941094882,1.20011653018825
CAPG,0.938707261800281,1.57470972974476,8.82502786373101,10.6551528658142,0.271883496183194,1.85737171018403,0.870058572169941,6.6763498611397,0.880108384086559
APOC1,0.925347910992917,0.364111180543613,48.8450409581607,4.4806374329618,0.702875364923843,0.485959775954037,0.861329063348487,2.24040520060998,1.38783833243232
PLEK,0.922268760537194,0.589456199788893,2.2935666685076,0.512902721516495,0.0122495878013705,0.0160977193768328,0.0428703171086406,4.14174844396088,0.0193997340773204
NR4A3,0.903013131150584,2.08388934679666,1.29383011426556,2.22769204658008,0.136349324504071,0.373330411792446,0.208264884085908,5.84922604091203,0.23801493367539
SFTPC,0.895559970134196,0.267085165295478,0.955989229573671,0.755536979511395,0.268704000260853,1.38399508370533,0.621303251729666,0.600293918150511,69.3604036229165
CST3,0.872533753011407,0.780002706474591,35.5873034548165,10.5229188781382,9.70681892229952,17.0909833028707,18.9525557017651,60.3097202004654,13.3261143388049
APOE,0.812830398765625,0.667975220750987,32.1741560147428,3.67287413294344,1.62704306763644,0.425532208901151,6.08505726620114,1.48482553839917,1.04455982204051
HLA-DMA,0.801322895138554,4.86950118939848,8.23645839954337,0.427533893365496,1.82554092997244,1.96021270605281,0.291826541626809,12.6241020997736,4.44932738800469
C1QA,0.800599433283439,0.557364307185883,44.1340056846995,0.989432033819948,0.750622609541305,0.201831236600782,0.589668839917811,12.5045695708159,0.687711040984756
PRDM2,0.790004751595479,3.25340591258904,0.285063709564946,0.406902556830982,0.195368036927743,0.286566680309566,0.578262604002881,0.319870046929451,0.570097738799789
FAM46A,0.762035927766567,0.577927585513924,0.97070100099891,4.17278953400746,0.389206450790738,1.15467679560319,1.77373227602042,1.07784899685204,0.939473572274357
LYZ,0.743832522050354,0.499283174455615,50.3030525340538,0.702936674726987,0.673568565694741,3.06785077081533,0.526547237057754,29.2700169592002,3.33905674273781
SELM,0.72453887671955,0.876706821112986,0.362084185991263,0.922316865049172,2.45380284962427,3.19710752296431,11.1591635075657,0.299030369012955,3.07065598270161
NFKBID,0.715286491073513,4.84163863071794,0.733332788416378,1.67033631932079,0.313728146749641,0.0965392077168736,0.0641554462758828,1.98101934667379,0.129094434078907
CD59,0.697946877241172,0.612896207510895,2.08931841843808,2.02451329593864,16.4769729179867,6.88081163625833,5.75243561783946,1.3106207581691,6.04461371889472
C1QB,0.682008654041102,0.502287210162867,40.0276245644935,0.511350859500097,1.06400497506758,0.178580809352869,0.652893761113646,12.1091441194203,0.591538421328568
TSC22D1,0.679805514577808,0.240759905240089,0.445832506747119,4.83659177571068,9.2183379699838,1.62304439590156,4.78439034281908,0.817883252936944,2.72734889364124
HLA-DQA2,0.676662375560852,3.46355551506039,5.06959755003295,0.0989181005127141,0.448383031837429,0.145313173668685,0.0446756095047419,14.6081093082985,1.80639791137589
SGK1,0.656194264894736,0.922924584863278,1.78060117341507,3.52757512806726,1.96438760613287,0.385506235828799,0.432405667808855,4.70552583805035,0.574943904888936
ITM2C,0.650165390316442,0.812865377956373,0.0413990217969664,3.89487629121093,0.229968084317742,1.23168472678607,2.21490944685634,1.23107403615533,0.526300312459129
FABP4,0.6203900279694,0.154782741585134,29.8379860678871,0.388479826778949,17.4046570191078,0.0242888844432658,0.486355263921016,0.356054005400387,0.262922159744878
IGFBP7,0.613869589335615,0.212223133765596,0.35044433352662,0.174482222724852,105.199811841244,0.830347909285615,63.5516190974649,0.588769266670609,0.956057342566021
LST1,0.548436984974522,0.357880150114684,13.0833201674487,0.475948816973018,0.0564978656516019,0.0317391231530656,0.137675262138441,11.7661152319662,0.237903685648484
ACP5,0.529972301725672,0.909786405527647,7.11460735663042,1.37432029432109,0.0702574562804517,0.184093209308097,0.510695365367214,0.958023396137135,0.552618727154082
IGLC3,0.526468883897684,23.9302094710075,0.301698828659096,0.387851101852528,0.834458804888151,0.533477947625865,0.663045172111396,0.277890934283301,0.810993523894524
LY9,0.509364286274831,7.25609028337264,0.0374623477057074,0.0277719486571836,0.0,0.0032632445916429,0.0032758176195092,0.150220295633656,0.0189063393069259
GRN,0.505714417739128,1.18935105544029,15.4982052181566,1.30745336829886,2.77037173418173,3.33751162029395,2.91681234581428,7.63022220930009,1.89923589203935
HLA-DRB5,0.504664245941764,3.75745617041808,9.52645287971561,0.71750116686838,1.93848910770098,0.976862097230391,0.39342590379764,12.6010859267491,4.10987216438337
CTSH,0.499201117641677,3.08651509393904,4.55637841114041,0.0847311337876345,1.41762638675819,4.31103256467767,0.581326619099871,7.51343373313831,9.1454828293992
PRSS23,0.498522809856033,0.0391489034576673,0.0170912772296984,0.0169884045845296,6.74047082679055,0.652782074654902,5.13034249345597,0.0280026861433271,1.20916781647683
CYB5A,0.456011224029609,0.353968441307131,1.63282885490764,0.702508170627679,2.36442938904202,14.4381903923238,1.46943082364787,0.558151985902272,24.0089203284847
PLAUR,0.445044243406865,0.189122061319689,9.48960008179539,3.61550792210515,0.955998328917695,1.68756013248306,1.41696984327704,8.32746235379654,0.299806319481052
NBL1,0.418495268770391,0.0457609618575394,0.0215386645020223,0.0816887497558829,0.770891690197992,0.332947312411672,9.99068175305931,0.0442673525950728,0.140788288889979
HPGD,0.411441956019506,0.0199032731437932,0.867655008541985,13.7773809620036,0.0151082049639518,0.370993644622534,0.0185821802407234,0.0457280517448195,1.72481390908788
ATP1B1,0.410395714125644,0.18552922604911,0.876168722518871,0.60991637393164,0.0403766174122459,9.66284852001764,0.34952085024182,1.06512728211075,6.96310197521699
IGHM,0.410372567215693,25.3657529170365,0.125058543366216,0.535795055436642,0.346230471282387,0.104311864545136,0.541739980487577,0.477548447212329,0.171173714325307
S100A9,0.397435003232408,0.336146391878717,42.2753921998486,0.298750218868469,0.362279671321311,6.73986856306795,0.338456553166076,4.52687119648883,6.51205428901854
G0S2,0.395990904561242,0.811380957679126,11.0527534971424,0.495723728462782,1.4243029894677,1.68224377244857,1.70707688461952,12.4135203857538,0.898764730103252
IGHG1,0.390105036594789,17.0146716479134,0.192929475022026,0.38289251904284,0.510706061233698,0.286085847354417,0.61210688209532,0.333134334881221,0.584037513484568
